question,answer
"What is agroforestry?","Growing trees and crops together."
"What is soil erosion?","Loss of topsoil due to wind and water."
"What prevents soil erosion?","Terracing, mulching, planting cover crops."
"What are cover crops?","Plants grown to protect soil like clover or grasses."
"How can farmers save water?","Use drip irrigation, mulching, rainwater harvesting."
"What is rainwater harvesting?","Collecting and storing rainwater for farming."
"What is crop forecasting?","Predicting crop yields using weather and soil data."
"What is AI in farming?","Using artificial intelligence for crop prediction, irrigation, and pest detection."
"What is drone mapping?","Creating field maps using drones for smart farming."
"What is soil mapping?","Analyzing soil nutrients and fertility distribution."
"What is high-density planting?","Planting more plants per area to increase yield."
"What is greenhouse temperature?","Ideally 20–30°C for most crops."
"What is organic manure?","Natural fertilizer like compost, cow dung, and bio-slurry."
"What is vermicompost?","Compost made using earthworms."
"What nutrients do plants need?","Nitrogen, phosphorus, potassium, micronutrients."
