name,category,price_per_kg,season,description
Crop65,Cereal,117.16,Summer,Crop65 is a cereal suitable for summer season.
Crop66,Fruit,138.89,Summer,Crop66 is a fruit suitable for summer season.
Crop67,Fruit,170.31,Monsoon,Crop67 is a fruit suitable for monsoon season.
Crop68,Cereal,179.46,Winter,Crop68 is a cereal suitable for winter season.
Crop69,Vegetable,195.83,Summer,Crop69 is a vegetable suitable for summer season.
Crop70,Cereal,124.6,Monsoon,Crop70 is a cereal suitable for monsoon season.
Crop71,Cereal,62.47,Winter,Crop71 is a cereal suitable for winter season.
Crop72,Cereal,99.18,Winter,Crop72 is a cereal suitable for winter season.
Crop73,Vegetable,70.62,Monsoon,Crop73 is a vegetable suitable for monsoon season.
Crop74,Fruit,157.42,Monsoon,Crop74 is a fruit suitable for monsoon season.
Crop75,Vegetable,128.19,Summer,Crop75 is a vegetable suitable for summer season.
Crop76,Fruit,73.65,Summer,Crop76 is a fruit suitable for summer season.
Crop77,Fruit,81.14,Winter,Crop77 is a fruit suitable for winter season.
Crop78,Vegetable,177.69,Summer,Crop78 is a vegetable suitable for summer season.
Crop79,Cereal,53.39,Winter,Crop79 is a cereal suitable for winter season.
Crop80,Cereal,191.42,Monsoon,Crop80 is a cereal suitable for monsoon season.
Crop81,Vegetable,35.9,Summer,Crop81 is a vegetable suitable for summer season.
Crop82,Fruit,171.69,All year,Crop82 is a fruit suitable for all year season.
Crop83,Vegetable,57.14,Monsoon,Crop83 is a vegetable suitable for monsoon season.
Crop84,Vegetable,195.76,Summer,Crop84 is a vegetable suitable for summer season.
Crop85,Cereal,184.85,Monsoon,Crop85 is a cereal suitable for monsoon season.
Crop86,Vegetable,71.97,All year,Crop86 is a vegetable suitable for all year season.
Crop87,Vegetable,162.24,All year,Crop87 is a vegetable suitable for all year season.
Crop88,Cereal,89.55,Monsoon,Crop88 is a cereal suitable for monsoon season.
Crop89,Fruit,61.11,Summer,Crop89 is a fruit suitable for summer season.
Crop90,Fruit,76.04,Winter,Crop90 is a fruit suitable for winter season.
Crop91,Vegetable,129.23,All year,Crop91 is a vegetable suitable for all year season.
Crop92,Vegetable,80.57,Monsoon,Crop92 is a vegetable suitable for monsoon season.
Crop93,Fruit,26.33,Monsoon,Crop93 is a fruit suitable for monsoon season.
Crop94,Fruit,179.33,Winter,Crop94 is a fruit suitable for winter season.
Crop95,Fruit,127.92,Summer,Crop95 is a fruit suitable for summer season.
Crop96,Fruit,178.62,Summer,Crop96 is a fruit suitable for summer season.
Crop97,Cereal,105.47,Summer,Crop97 is a cereal suitable for summer season.
Crop98,Cereal,87.39,Winter,Crop98 is a cereal suitable for winter season.
Crop99,Cereal,38.62,Winter,Crop99 is a cereal suitable for winter season.
Crop100,Cereal,134.3,Winter,Crop100 is a cereal suitable for winter season.
Crop101,Cereal,172.61,All year,Crop101 is a cereal suitable for all year season.
Crop102,Vegetable,107.67,Winter,Crop102 is a vegetable suitable for winter season.
Crop103,Fruit,176.37,Monsoon,Crop103 is a fruit suitable for monsoon season.
Crop104,Cereal,94.47,Monsoon,Crop104 is a cereal suitable for monsoon season.
Crop105,Fruit,53.12,Summer,Crop105 is a fruit suitable for summer season.
Crop106,Vegetable,169.54,Summer,Crop106 is a vegetable suitable for summer season.
Crop107,Cereal,28.29,Winter,Crop107 is a cereal suitable for winter season.
Crop108,Vegetable,33.54,Summer,Crop108 is a vegetable suitable for summer season.
Crop109,Vegetable,38.35,Monsoon,Crop109 is a vegetable suitable for monsoon season.
Crop110,Vegetable,151.12,Winter,Crop110 is a vegetable suitable for winter season.
Crop111,Fruit,121.62,Winter,Crop111 is a fruit suitable for winter season.
Crop112,Vegetable,165.11,Winter,Crop112 is a vegetable suitable for winter season.
Crop113,Fruit,114.47,Monsoon,Crop113 is a fruit suitable for monsoon season.
Crop114,Cereal,94.17,Winter,Crop114 is a cereal suitable for winter season.
Crop115,Fruit,187.3,All year,Crop115 is a fruit suitable for all year season.
Crop116,Fruit,101.93,Monsoon,Crop116 is a fruit suitable for monsoon season.
Crop117,Cereal,70.52,Monsoon,Crop117 is a cereal suitable for monsoon season.
Crop118,Vegetable,177.31,Summer,Crop118 is a vegetable suitable for summer season.
Crop119,Cereal,31.91,Monsoon,Crop119 is a cereal suitable for monsoon season.
Crop120,Vegetable,62.32,Summer,Crop120 is a vegetable suitable for summer season.
Crop121,Vegetable,127.4,Monsoon,Crop121 is a vegetable suitable for monsoon season.
Crop122,Cereal,75.08,Winter,Crop122 is a cereal suitable for winter season.
Crop123,Vegetable,57.86,Monsoon,Crop123 is a vegetable suitable for monsoon season.
Crop124,Vegetable,185.75,Monsoon,Crop124 is a vegetable suitable for monsoon season.
Crop125,Fruit,156.31,Winter,Crop125 is a fruit suitable for winter season.
Crop126,Vegetable,172.56,All year,Crop126 is a vegetable suitable for all year season.
Crop127,Fruit,103.86,All year,Crop127 is a fruit suitable for all year season.
Crop128,Vegetable,189.51,All year,Crop128 is a vegetable suitable for all year season.
Crop129,Fruit,90.81,Monsoon,Crop129 is a fruit suitable for monsoon season.
Crop130,Cereal,101.73,Monsoon,Crop130 is a cereal suitable for monsoon season.
Crop131,Vegetable,85.66,Monsoon,Crop131 is a vegetable suitable for monsoon season.
Crop132,Cereal,68.45,Monsoon,Crop132 is a cereal suitable for monsoon season.
Crop133,Cereal,60.9,All year,Crop133 is a cereal suitable for all year season.
Crop134,Cereal,70.32,All year,Crop134 is a cereal suitable for all year season.
Crop135,Vegetable,197.99,All year,Crop135 is a vegetable suitable for all year season.
Crop136,Fruit,49.07,Winter,Crop136 is a fruit suitable for winter season.
Crop137,Vegetable,155.06,Summer,Crop137 is a vegetable suitable for summer season.
Crop138,Vegetable,178.78,Monsoon,Crop138 is a vegetable suitable for monsoon season.
Crop139,Cereal,173.02,All year,Crop139 is a cereal suitable for all year season.
Crop140,Cereal,179.38,Monsoon,Crop140 is a cereal suitable for monsoon season.
Crop141,Vegetable,20.01,All year,Crop141 is a vegetable suitable for all year season.
Crop142,Vegetable,65.13,All year,Crop142 is a vegetable suitable for all year season.
Crop143,Vegetable,64.61,Monsoon,Crop143 is a vegetable suitable for monsoon season.
Crop144,Cereal,69.68,Summer,Crop144 is a cereal suitable for summer season.
Crop145,Vegetable,185.58,Summer,Crop145 is a vegetable suitable for summer season.
Crop146,Vegetable,124.86,Summer,Crop146 is a vegetable suitable for summer season.
Crop147,Fruit,195.17,Summer,Crop147 is a fruit suitable for summer season.
Crop148,Vegetable,110.65,All year,Crop148 is a vegetable suitable for all year season.
Crop149,Cereal,71.68,Winter,Crop149 is a cereal suitable for winter season.
Crop150,Vegetable,166.41,Winter,Crop150 is a vegetable suitable for winter season.
Crop151,Fruit,165.09,Monsoon,Crop151 is a fruit suitable for monsoon season.
Crop152,Vegetable,50.35,Winter,Crop152 is a vegetable suitable for winter season.
Crop153,Vegetable,115.92,Monsoon,Crop153 is a vegetable suitable for monsoon season.
Crop154,Vegetable,54.18,Monsoon,Crop154 is a vegetable suitable for monsoon season.
Crop155,Vegetable,65.96,All year,Crop155 is a vegetable suitable for all year season.
Crop156,Fruit,192.92,Summer,Crop156 is a fruit suitable for summer season.
Crop157,Fruit,52.03,All year,Crop157 is a fruit suitable for all year season.
Crop158,Vegetable,70.16,Monsoon,Crop158 is a vegetable suitable for monsoon season.
Crop159,Fruit,106.7,Monsoon,Crop159 is a fruit suitable for monsoon season.
Crop160,Cereal,189.53,Winter,Crop160 is a cereal suitable for winter season.
Crop161,Fruit,120.92,All year,Crop161 is a fruit suitable for all year season.
Crop162,Fruit,111.32,All year,Crop162 is a fruit suitable for all year season.
Crop163,Cereal,155.31,All year,Crop163 is a cereal suitable for all year season.
Crop164,Cereal,37.83,Winter,Crop164 is a cereal suitable for winter season.
Crop165,Vegetable,134.29,All year,Crop165 is a vegetable suitable for all year season.
Crop166,Vegetable,162.98,Monsoon,Crop166 is a vegetable suitable for monsoon season.
Crop167,Vegetable,129.76,Winter,Crop167 is a vegetable suitable for winter season.
Crop168,Vegetable,81.97,All year,Crop168 is a vegetable suitable for all year season.
Crop169,Fruit,126.73,Winter,Crop169 is a fruit suitable for winter season.
Crop170,Vegetable,175.0,Summer,Crop170 is a vegetable suitable for summer season.
Crop171,Fruit,26.01,All year,Crop171 is a fruit suitable for all year season.
Crop172,Vegetable,27.41,Summer,Crop172 is a vegetable suitable for summer season.
Crop173,Vegetable,57.73,All year,Crop173 is a vegetable suitable for all year season.
Crop174,Cereal,196.83,Monsoon,Crop174 is a cereal suitable for monsoon season.
Crop175,Cereal,91.56,Winter,Crop175 is a cereal suitable for winter season.
Crop176,Fruit,189.81,All year,Crop176 is a fruit suitable for all year season.
Crop177,Cereal,138.6,All year,Crop177 is a cereal suitable for all year season.
Crop178,Vegetable,46.7,All year,Crop178 is a vegetable suitable for all year season.
Crop179,Vegetable,92.07,Summer,Crop179 is a vegetable suitable for summer season.
Crop180,Vegetable,77.99,Monsoon,Crop180 is a vegetable suitable for monsoon season.
Crop181,Cereal,78.31,Winter,Crop181 is a cereal suitable for winter season.
Crop182,Cereal,100.72,All year,Crop182 is a cereal suitable for all year season.
Crop183,Fruit,41.55,All year,Crop183 is a fruit suitable for all year season.
Crop184,Fruit,152.26,All year,Crop184 is a fruit suitable for all year season.
Crop185,Fruit,42.05,Summer,Crop185 is a fruit suitable for summer season.
Crop186,Vegetable,173.33,Summer,Crop186 is a vegetable suitable for summer season.
Crop187,Vegetable,21.61,Monsoon,Crop187 is a vegetable suitable for monsoon season.
Crop188,Cereal,143.45,All year,Crop188 is a cereal suitable for all year season.
Crop189,Vegetable,42.62,Winter,Crop189 is a vegetable suitable for winter season.
Crop190,Cereal,176.28,Summer,Crop190 is a cereal suitable for summer season.
Crop191,Cereal,141.29,Summer,Crop191 is a cereal suitable for summer season.
Crop192,Vegetable,53.59,All year,Crop192 is a vegetable suitable for all year season.
Crop193,Cereal,40.55,All year,Crop193 is a cereal suitable for all year season.
Crop194,Vegetable,101.12,All year,Crop194 is a vegetable suitable for all year season.
Crop195,Cereal,167.46,All year,Crop195 is a cereal suitable for all year season.
Crop196,Vegetable,93.16,Monsoon,Crop196 is a vegetable suitable for monsoon season.
Crop197,Vegetable,45.32,Monsoon,Crop197 is a vegetable suitable for monsoon season.
Crop198,Fruit,36.69,Summer,Crop198 is a fruit suitable for summer season.
Crop199,Fruit,118.6,Winter,Crop199 is a fruit suitable for winter season.
Crop200,Vegetable,97.59,Winter,Crop200 is a vegetable suitable for winter season.
Crop201,Vegetable,52.35,Monsoon,Crop201 is a vegetable suitable for monsoon season.
Crop202,Vegetable,62.2,All year,Crop202 is a vegetable suitable for all year season.
Crop203,Fruit,195.94,Summer,Crop203 is a fruit suitable for summer season.
Crop204,Cereal,89.45,All year,Crop204 is a cereal suitable for all year season.
Crop205,Vegetable,145.97,Monsoon,Crop205 is a vegetable suitable for monsoon season.
Crop206,Fruit,174.27,Summer,Crop206 is a fruit suitable for summer season.
Crop207,Fruit,56.91,All year,Crop207 is a fruit suitable for all year season.
Crop208,Vegetable,158.96,Summer,Crop208 is a vegetable suitable for summer season.
Crop209,Fruit,35.5,Summer,Crop209 is a fruit suitable for summer season.
Crop210,Fruit,38.5,All year,Crop210 is a fruit suitable for all year season.
Crop211,Fruit,138.3,Summer,Crop211 is a fruit suitable for summer season.
Crop212,Vegetable,91.14,Winter,Crop212 is a vegetable suitable for winter season.
Crop213,Cereal,192.09,All year,Crop213 is a cereal suitable for all year season.
Crop214,Cereal,48.64,Monsoon,Crop214 is a cereal suitable for monsoon season.
Crop215,Fruit,79.02,Summer,Crop215 is a fruit suitable for summer season.
Crop216,Cereal,26.62,Monsoon,Crop216 is a cereal suitable for monsoon season.
Crop217,Vegetable,184.4,Monsoon,Crop217 is a vegetable suitable for monsoon season.
Crop218,Fruit,154.4,Winter,Crop218 is a fruit suitable for winter season.
Crop219,Fruit,186.46,Winter,Crop219 is a fruit suitable for winter season.
Crop220,Vegetable,130.68,All year,Crop220 is a vegetable suitable for all year season.
Crop221,Vegetable,133.18,Monsoon,Crop221 is a vegetable suitable for monsoon season.
Crop222,Cereal,165.7,Summer,Crop222 is a cereal suitable for summer season.
Crop223,Cereal,51.73,Winter,Crop223 is a cereal suitable for winter season.
Crop224,Vegetable,146.69,Winter,Crop224 is a vegetable suitable for winter season.
Crop225,Vegetable,106.76,Winter,Crop225 is a vegetable suitable for winter season.
Crop226,Cereal,68.13,All year,Crop226 is a cereal suitable for all year season.
Crop227,Cereal,70.9,Winter,Crop227 is a cereal suitable for winter season.
Crop228,Fruit,31.9,Winter,Crop228 is a fruit suitable for winter season.
Crop229,Cereal,117.62,Monsoon,Crop229 is a cereal suitable for monsoon season.
Crop230,Vegetable,177.59,Summer,Crop230 is a vegetable suitable for summer season.
Crop231,Vegetable,157.81,Monsoon,Crop231 is a vegetable suitable for monsoon season.
Crop232,Fruit,121.86,Summer,Crop232 is a fruit suitable for summer season.
Crop233,Cereal,131.68,Winter,Crop233 is a cereal suitable for winter season.
Crop234,Cereal,28.98,Winter,Crop234 is a cereal suitable for winter season.
Crop235,Fruit,135.78,Summer,Crop235 is a fruit suitable for summer season.
Crop236,Vegetable,117.13,Summer,Crop236 is a vegetable suitable for summer season.
Crop237,Cereal,31.22,Summer,Crop237 is a cereal suitable for summer season.
Crop238,Cereal,99.16,All year,Crop238 is a cereal suitable for all year season.
Crop239,Fruit,158.18,Monsoon,Crop239 is a fruit suitable for monsoon season.
Crop240,Cereal,187.38,All year,Crop240 is a cereal suitable for all year season.
Crop241,Cereal,197.54,Monsoon,Crop241 is a cereal suitable for monsoon season.
Crop242,Fruit,162.42,Summer,Crop242 is a fruit suitable for summer season.
Crop243,Vegetable,67.12,Monsoon,Crop243 is a vegetable suitable for monsoon season.
Crop244,Cereal,123.98,All year,Crop244 is a cereal suitable for all year season.
Crop245,Vegetable,111.08,Monsoon,Crop245 is a vegetable suitable for monsoon season.
Crop246,Vegetable,171.31,Winter,Crop246 is a vegetable suitable for winter season.
Crop247,Fruit,32.34,Summer,Crop247 is a fruit suitable for summer season.
Crop248,Cereal,160.74,Winter,Crop248 is a cereal suitable for winter season.
Crop249,Cereal,142.62,Monsoon,Crop249 is a cereal suitable for monsoon season.
Crop250,Vegetable,123.94,All year,Crop250 is a vegetable suitable for all year season.
Crop251,Vegetable,176.18,Summer,Crop251 is a vegetable suitable for summer season.
Crop252,Fruit,77.23,Winter,Crop252 is a fruit suitable for winter season.
Crop253,Fruit,111.44,All year,Crop253 is a fruit suitable for all year season.
Crop254,Cereal,117.5,Winter,Crop254 is a cereal suitable for winter season.
Crop255,Cereal,83.18,All year,Crop255 is a cereal suitable for all year season.
Crop256,Vegetable,25.92,Winter,Crop256 is a vegetable suitable for winter season.
Crop257,Fruit,93.69,All year,Crop257 is a fruit suitable for all year season.
Crop258,Vegetable,40.08,Monsoon,Crop258 is a vegetable suitable for monsoon season.
Crop259,Fruit,151.99,Winter,Crop259 is a fruit suitable for winter season.
Crop260,Cereal,174.87,Monsoon,Crop260 is a cereal suitable for monsoon season.
Crop261,Cereal,99.74,Winter,Crop261 is a cereal suitable for winter season.
Crop262,Cereal,120.09,Winter,Crop262 is a cereal suitable for winter season.
Crop263,Fruit,61.74,Winter,Crop263 is a fruit suitable for winter season.
Crop264,Cereal,195.37,Monsoon,Crop264 is a cereal suitable for monsoon season.
Crop265,Fruit,163.87,Monsoon,Crop265 is a fruit suitable for monsoon season.
Crop266,Fruit,145.43,Winter,Crop266 is a fruit suitable for winter season.
Crop267,Cereal,91.22,Winter,Crop267 is a cereal suitable for winter season.
Crop268,Fruit,124.8,All year,Crop268 is a fruit suitable for all year season.
Crop269,Vegetable,135.8,Summer,Crop269 is a vegetable suitable for summer season.
Crop270,Fruit,30.58,Winter,Crop270 is a fruit suitable for winter season.
Crop271,Fruit,32.77,Monsoon,Crop271 is a fruit suitable for monsoon season.
Crop272,Cereal,111.5,Summer,Crop272 is a cereal suitable for summer season.
Crop273,Vegetable,148.2,Summer,Crop273 is a vegetable suitable for summer season.
Crop274,Vegetable,155.38,Winter,Crop274 is a vegetable suitable for winter season.
Crop275,Vegetable,188.06,Winter,Crop275 is a vegetable suitable for winter season.
Crop276,Vegetable,158.56,Winter,Crop276 is a vegetable suitable for winter season.
Crop277,Cereal,42.23,All year,Crop277 is a cereal suitable for all year season.
Crop278,Fruit,92.28,Summer,Crop278 is a fruit suitable for summer season.
Crop279,Vegetable,134.44,Monsoon,Crop279 is a vegetable suitable for monsoon season.
Crop280,Fruit,23.48,All year,Crop280 is a fruit suitable for all year season.
Crop281,Fruit,101.88,Monsoon,Crop281 is a fruit suitable for monsoon season.
Crop282,Vegetable,196.58,Winter,Crop282 is a vegetable suitable for winter season.
Crop283,Cereal,151.03,Monsoon,Crop283 is a cereal suitable for monsoon season.
Crop284,Vegetable,113.63,Summer,Crop284 is a vegetable suitable for summer season.
Crop285,Vegetable,118.0,Summer,Crop285 is a vegetable suitable for summer season.
Crop286,Fruit,58.27,Summer,Crop286 is a fruit suitable for summer season.
Crop287,Vegetable,77.09,Summer,Crop287 is a vegetable suitable for summer season.
Crop288,Fruit,86.22,Summer,Crop288 is a fruit suitable for summer season.
Crop289,Vegetable,108.66,Summer,Crop289 is a vegetable suitable for summer season.
Crop290,Cereal,164.12,All year,Crop290 is a cereal suitable for all year season.
Crop291,Cereal,137.0,Monsoon,Crop291 is a cereal suitable for monsoon season.
Crop292,Cereal,98.05,Winter,Crop292 is a cereal suitable for winter season.
Crop293,Cereal,129.29,Winter,Crop293 is a cereal suitable for winter season.
Crop294,Fruit,73.97,Summer,Crop294 is a fruit suitable for summer season.
Crop295,Fruit,99.66,Winter,Crop295 is a fruit suitable for winter season.
Crop296,Fruit,108.91,Monsoon,Crop296 is a fruit suitable for monsoon season.
Crop297,Vegetable,86.2,All year,Crop297 is a vegetable suitable for all year season.
Crop298,Vegetable,134.22,Winter,Crop298 is a vegetable suitable for winter season.
Crop299,Fruit,149.59,Monsoon,Crop299 is a fruit suitable for monsoon season.
Crop300,Vegetable,43.43,Monsoon,Crop300 is a vegetable suitable for monsoon season.
Crop301,Fruit,152.46,Winter,Crop301 is a fruit suitable for winter season.
Crop302,Vegetable,149.34,Monsoon,Crop302 is a vegetable suitable for monsoon season.
Crop303,Vegetable,47.02,Winter,Crop303 is a vegetable suitable for winter season.
Crop304,Cereal,102.39,All year,Crop304 is a cereal suitable for all year season.
Crop305,Fruit,175.57,Summer,Crop305 is a fruit suitable for summer season.
Crop306,Cereal,169.02,All year,Crop306 is a cereal suitable for all year season.
Crop307,Fruit,130.29,Monsoon,Crop307 is a fruit suitable for monsoon season.
Crop308,Cereal,86.14,Summer,Crop308 is a cereal suitable for summer season.
Crop309,Vegetable,86.84,Monsoon,Crop309 is a vegetable suitable for monsoon season.
Crop310,Vegetable,61.39,Monsoon,Crop310 is a vegetable suitable for monsoon season.
Crop311,Vegetable,99.57,All year,Crop311 is a vegetable suitable for all year season.
Crop312,Cereal,29.37,Winter,Crop312 is a cereal suitable for winter season.
Crop313,Cereal,81.27,Monsoon,Crop313 is a cereal suitable for monsoon season.
Crop314,Vegetable,70.84,Monsoon,Crop314 is a vegetable suitable for monsoon season.
Crop315,Vegetable,167.44,Winter,Crop315 is a vegetable suitable for winter season.
Crop316,Vegetable,170.53,Summer,Crop316 is a vegetable suitable for summer season.
Crop317,Fruit,111.87,Winter,Crop317 is a fruit suitable for winter season.
Crop318,Fruit,110.46,Summer,Crop318 is a fruit suitable for summer season.
Crop319,Cereal,38.12,All year,Crop319 is a cereal suitable for all year season.
Crop320,Cereal,136.3,Summer,Crop320 is a cereal suitable for summer season.
Crop321,Fruit,190.9,Summer,Crop321 is a fruit suitable for summer season.
Crop322,Vegetable,121.56,All year,Crop322 is a vegetable suitable for all year season.
Crop323,Fruit,77.88,Monsoon,Crop323 is a fruit suitable for monsoon season.
Crop324,Fruit,75.76,Winter,Crop324 is a fruit suitable for winter season.
Crop325,Vegetable,193.09,Monsoon,Crop325 is a vegetable suitable for monsoon season.
Crop326,Fruit,194.27,Monsoon,Crop326 is a fruit suitable for monsoon season.
Crop327,Cereal,37.94,All year,Crop327 is a cereal suitable for all year season.
Crop328,Vegetable,78.12,Monsoon,Crop328 is a vegetable suitable for monsoon season.
Crop329,Vegetable,191.6,All year,Crop329 is a vegetable suitable for all year season.
Crop330,Cereal,78.82,Summer,Crop330 is a cereal suitable for summer season.
Crop331,Cereal,83.99,Summer,Crop331 is a cereal suitable for summer season.
Crop332,Fruit,62.44,All year,Crop332 is a fruit suitable for all year season.
Crop333,Vegetable,91.14,Monsoon,Crop333 is a vegetable suitable for monsoon season.
Crop334,Cereal,179.94,Summer,Crop334 is a cereal suitable for summer season.
Crop335,Cereal,46.17,All year,Crop335 is a cereal suitable for all year season.
Crop336,Fruit,116.6,Summer,Crop336 is a fruit suitable for summer season.
Crop337,Cereal,77.88,All year,Crop337 is a cereal suitable for all year season.
Crop338,Cereal,111.81,Summer,Crop338 is a cereal suitable for summer season.
Crop339,Cereal,33.87,All year,Crop339 is a cereal suitable for all year season.
Crop340,Vegetable,192.43,Monsoon,Crop340 is a vegetable suitable for monsoon season.
Crop341,Fruit,133.9,All year,Crop341 is a fruit suitable for all year season.
Crop342,Fruit,102.05,All year,Crop342 is a fruit suitable for all year season.
Crop343,Cereal,55.35,Monsoon,Crop343 is a cereal suitable for monsoon season.
Crop344,Vegetable,51.79,Summer,Crop344 is a vegetable suitable for summer season.
Crop345,Vegetable,155.11,Summer,Crop345 is a vegetable suitable for summer season.
Crop346,Vegetable,148.56,Winter,Crop346 is a vegetable suitable for winter season.
Crop347,Vegetable,101.52,Summer,Crop347 is a vegetable suitable for summer season.
Crop348,Fruit,141.7,All year,Crop348 is a fruit suitable for all year season.
Crop349,Vegetable,116.09,Winter,Crop349 is a vegetable suitable for winter season.
Crop350,Cereal,193.8,Summer,Crop350 is a cereal suitable for summer season.
Crop351,Fruit,161.86,All year,Crop351 is a fruit suitable for all year season.
Crop352,Cereal,81.95,Summer,Crop352 is a cereal suitable for summer season.
Crop353,Cereal,105.29,All year,Crop353 is a cereal suitable for all year season.
Crop354,Vegetable,155.19,Winter,Crop354 is a vegetable suitable for winter season.
Crop355,Cereal,146.86,Winter,Crop355 is a cereal suitable for winter season.
Crop356,Fruit,83.84,Monsoon,Crop356 is a fruit suitable for monsoon season.
Crop357,Cereal,169.54,Summer,Crop357 is a cereal suitable for summer season.
Crop358,Vegetable,125.03,Monsoon,Crop358 is a vegetable suitable for monsoon season.
Crop359,Fruit,112.4,All year,Crop359 is a fruit suitable for all year season.
Crop360,Cereal,180.89,All year,Crop360 is a cereal suitable for all year season.
Crop361,Fruit,28.58,Winter,Crop361 is a fruit suitable for winter season.
Crop362,Vegetable,157.3,Monsoon,Crop362 is a vegetable suitable for monsoon season.
